20230315T,308.392700000,312.664600000,300.335600000,306.256500000,5642.398000000
20230316T,306.256500000,332.527900000,302.938900000,329.368700000,17394.595000000
20230317T,329.368700000,340.062500000,325.000000000,338.935700000,8205.481000000
20230318T,338.935700000,346.029400000,328.321700000,330.850400000,7461.076000000
20230319T,330.850400000,341.373500000,330.404000000,336.514500000,5068.745000000
20230320T,336.514500000,341.845900000,331.500000000,332.345300000,9030.599000000
20230321T,332.345300000,339.912300000,327.055600000,334.441700000,5762.274000000
20230322T,334.441700000,339.197500000,316.000000000,321.144800000,11483.885000000
20230323T,321.144800000,332.140400000,319.133300000,329.454300000,7276.184000000
20230324T,329.454300000,330.132700000,317.000000000,321.818800000,7116.783000000
20230325T,321.818800000,324.730100000,319.075400000,322.376700000,4075.274000000
20230326T,322.376700000,329.378600000,321.795100000,328.735000000,2302.285000000
20230327T,328.735000000,329.667900000,305.379300000,310.646100000,7626.968000000
20230328T,310.646100000,315.743200000,307.000000000,313.283400000,3791.933000000
20230329T,313.283400000,319.877200000,312.475500000,313.697300000,4048.317000000
20230330T,313.697300000,321.285700000,309.500000000,316.371300000,4825.472000000
20230331T,316.371300000,319.749800000,312.934700000,317.034300000,2783.083000000
20230401T,317.034300000,318.531400000,313.000000000,314.822900000,1905.069000000
20230402T,314.822900000,316.174000000,308.770600000,313.791500000,3218.414000000
20230403T,313.791500000,313.987900000,300.000000000,308.655100000,5722.010000000
20230404T,308.655100000,312.686900000,308.253600000,310.709900000,3650.012000000
20230405T,310.709900000,316.807600000,310.244300000,314.005300000,4413.491000000
20230406T,314.005300000,315.214900000,310.619100000,312.107600000,2204.151000000
20230407T,312.107600000,312.693400000,309.570000000,310.616500000,2287.565000000
20230408T,310.616500000,312.831700000,310.134000000,310.573900000,1836.091000000
20230409T,310.573900000,313.926200000,309.514600000,312.812600000,1626.010000000
20230410T,312.812600000,318.484900000,311.676200000,318.476100000,4260.433000000
20230411T,318.476100000,333.095500000,317.835200000,322.302800000,9718.371360000
20230412T,322.302800000,323.392800000,316.813200000,319.882100000,3691.909600000
20230413T,319.882100000,330.000000000,317.834600000,324.659700000,5641.049200000
20230414T,324.659700000,335.299900000,323.214200000,328.894200000,7990.415840000
20230415T,328.894200000,336.000000000,326.746400000,333.045500000,6458.293690000
20230416T,333.045500000,350.000000000,330.112600000,347.685300000,10232.165680000
20230417T,347.685300000,349.991800000,337.597700000,339.903100000,6998.163640000
20230418T,339.903100000,346.500000000,337.056600000,342.973900000,8126.346030000
20230419T,342.973900000,343.675700000,320.000000000,322.382200000,8718.003210000
20230420T,322.382200000,326.696600000,315.344400000,317.953800000,4983.733510000
20230421T,317.953800000,332.680800000,315.455800000,321.384400000,13468.579210000
20230422T,321.384400000,333.237000000,319.755500000,332.074000000,4174.024290000
20230423T,332.074000000,332.290700000,327.319500000,330.491100000,4842.879940000
20230424T,330.491100000,333.833900000,327.745200000,331.205500000,4830.594600000
20230425T,331.205500000,339.911600000,328.609800000,338.452500000,6823.247440000
20230426T,338.452500000,345.317400000,323.429000000,330.521600000,8944.368430000
20230427T,330.521600000,336.546500000,328.292000000,330.740600000,5908.536810000
20230428T,330.740600000,330.850500000,318.750100000,324.067500000,7935.374410000
20230429T,324.067500000,324.733300000,321.166100000,321.807900000,3031.560060000
20230430T,321.807900000,338.012200000,320.598000000,337.264600000,7953.339680000
20230501T,337.264600000,339.285300000,326.181400000,328.438300000,7057.016550000
20230502T,328.438300000,328.438300000,321.442600000,321.442600000,4765.715390000
20230503T,321.442600000,327.498800000,320.758500000,325.900700000,9088.396120000
20230504T,325.900700000,327.500000000,323.312800000,323.848500000,3431.557410000
20230505T,323.848500000,329.279000000,322.969500000,326.628700000,4960.574140000
20230506T,326.628700000,328.265400000,319.317100000,322.003400000,5011.828540000
20230507T,322.003400000,325.407900000,320.587900000,320.956100000,2906.440570000
20230508T,320.956100000,322.072700000,311.125000000,313.674500000,8578.147660000
20230509T,313.674500000,315.706400000,311.156200000,312.146500000,3996.605400000
20230510T,312.146500000,316.666000000,308.000000000,314.264900000,4440.126340000
20230511T,314.264900000,314.414300000,304.579200000,307.515700000,3814.369820000
20230512T,307.515700000,309.109500000,301.188200000,308.582000000,3672.297410000
20230513T,308.582000000,311.828500000,307.511800000,310.921000000,1744.247280000
20230514T,310.921000000,314.795200000,309.618200000,312.027200000,2097.665700000
20230515T,312.027200000,316.282500000,310.558900000,313.479400000,3100.251630000
20230516T,313.479400000,313.965300000,309.304600000,311.727600000,2935.041660000
20230517T,311.727600000,314.455800000,306.930500000,314.175800000,2342.356950000
20230518T,314.175800000,317.137000000,306.248500000,309.336000000,3639.836870000
20230519T,309.336000000,311.361900000,307.666200000,308.862800000,2671.735640000
20230520T,308.862800000,312.000000000,307.857500000,310.700100000,1493.789370000
20230521T,310.700100000,311.669900000,305.853500000,306.415100000,1694.211570000
20230522T,306.415100000,311.270100000,304.437400000,309.137900000,4100.053920000
20230523T,309.137900000,315.379700000,309.136100000,313.448300000,3120.761300000
20230524T,313.448300000,313.485300000,303.800000000,305.938500000,4222.176130000
20230525T,305.938500000,306.972200000,302.197100000,304.730600000,3568.509750000
20230526T,304.730600000,308.396500000,301.666400000,306.974200000,3734.063470000
20230527T,306.974200000,307.786000000,304.000000000,307.455400000,1718.002010000
20230528T,307.455400000,314.560800000,306.701900000,314.187200000,1975.612840000
20230529T,314.187200000,317.479500000,310.329100000,311.806000000,3884.306920000
20230530T,311.806000000,314.285500000,310.879600000,311.483800000,4289.772910000
20230531T,311.483800000,311.728800000,305.151400000,306.799800000,4094.707600000
20230601T,306.799800000,307.713600000,303.200000000,304.974800000,3111.548190000
20230602T,304.974800000,308.500000000,303.356800000,307.322300000,2961.063370000
20230603T,307.322300000,308.070000000,305.110500000,306.657500000,1611.364240000
20230604T,306.657500000,307.577100000,304.665300000,305.078900000,1758.020680000
20230605T,305.078900000,305.078900000,272.165100000,277.097300000,13594.542770000
20230606T,277.097300000,286.378300000,273.400600000,281.001900000,9372.507220000
20230607T,281.001900000,281.739600000,253.600000000,259.230000000,12419.851000000
20230608T,259.230000000,267.604400000,257.142500000,262.050200000,6444.824150000
20230609T,262.050200000,264.528900000,255.651400000,260.652800000,7308.139690000
20230610T,260.652800000,260.713100000,227.830400000,238.939100000,19266.593620000
20230611T,238.939100000,239.158600000,229.744500000,235.333600000,6313.990250000
20230612T,235.333600000,239.427000000,220.259800000,231.318000000,23593.873140000
20230613T,231.318000000,246.794400000,228.800000000,244.217700000,17358.367540000
20230614T,244.217700000,253.017400000,233.064400000,238.059700000,7287.317390000
20230615T,238.059700000,240.812100000,230.476900000,236.650500000,6534.186920000
20230616T,236.650500000,243.840200000,232.127200000,239.428100000,5362.248900000
20230617T,239.428100000,249.899600000,237.156800000,244.708200000,7705.631730000
20230618T,244.708200000,248.589800000,242.195900000,244.251900000,3179.445780000
20230619T,244.251900000,245.400000000,238.300100000,242.931600000,8065.285360000
20230620T,242.931600000,248.001000000,238.549700000,247.739800000,3390.699490000
20230621T,247.739800000,254.991900000,245.168300000,249.029300000,8471.412590000
20230622T,249.029300000,256.860600000,239.451100000,240.595600000,6480.464420000
20230623T,240.595600000,249.700000000,239.750000000,244.215800000,6695.700750000
20230624T,244.215800000,248.600000000,230.143300000,236.577200000,10578.092220000
20230625T,236.577200000,242.000000000,235.000000000,238.937100000,3419.964660000
20230626T,238.937100000,241.622800000,233.653800000,236.084900000,5189.878450000
20230627T,236.084900000,240.800000000,234.561400000,237.262000000,5495.165170000
20230628T,237.262000000,237.592100000,223.993400000,230.583800000,12472.910660000
20230629T,230.583800000,236.615100000,230.358300000,233.081100000,5151.697900000
20230630T,233.081100000,248.400000000,230.612000000,240.408400000,12499.101910000
20230701T,240.408400000,253.642300000,240.019000000,247.846300000,7755.282190000
20230702T,247.846300000,248.547900000,242.978200000,246.301900000,6013.282200000
20230703T,246.301900000,255.000000000,245.220000000,246.389300000,8990.526250000
20230704T,246.389300000,246.787500000,240.483100000,242.434900000,4249.915050000
20230705T,242.434900000,243.922700000,235.520000000,238.754000000,5747.224780000
20230706T,238.754000000,244.261000000,231.571800000,232.222000000,8008.233310000
20230707T,232.222000000,236.130900000,231.166000000,235.594400000,4235.689500000
20230708T,235.594400000,237.499400000,234.126200000,236.215800000,2539.601410000
20230709T,236.215800000,237.066200000,233.000000000,233.986000000,2026.767780000
20230710T,233.986000000,246.401200000,231.300000000,246.143400000,15262.244600000
20230711T,246.143400000,250.000000000,244.526000000,248.541800000,7359.858540000
20230712T,248.541800000,250.268100000,242.462100000,243.849700000,7161.415410000
20230713T,243.849700000,257.712200000,242.727000000,256.241500000,11851.349600000
20230714T,256.241500000,261.626800000,243.035600000,248.007700000,10912.253560000
20230715T,248.007700000,252.433200000,247.000000000,251.146800000,3935.041660000
20230716T,251.146800000,251.988500000,241.958500000,242.264600000,5690.847150000
20230717T,242.264600000,244.855100000,239.381800000,244.277200000,9211.028630000
20230718T,244.277200000,246.657600000,237.570000000,240.386500000,15168.199910000
20230719T,240.386500000,244.153200000,239.951600000,240.777200000,5113.199400000
20230720T,240.777200000,245.059000000,240.445200000,242.875500000,9103.898880000
20230721T,242.875500000,245.513200000,242.184000000,243.561200000,6447.927490000
20230722T,243.561200000,244.816600000,240.067700000,241.091400000,3023.892020000
20230723T,241.091400000,243.896800000,240.530300000,242.392200000,2456.009780000
20230724T,242.392200000,243.052600000,235.400000000,238.943700000,6986.699650000
20230725T,238.943700000,239.763400000,236.300000000,237.850000000,4234.930910000
20230726T,237.850000000,240.400000000,232.545700000,238.940200000,7518.577310000
20230727T,238.940200000,244.403200000,238.300500000,240.622000000,4955.896980000
20230728T,240.622000000,242.900600000,239.750000000,241.820000000,6191.858300000
20230729T,241.820000000,242.981400000,241.170200000,242.520000000,2167.174950000
20230730T,242.520000000,243.826300000,240.302700000,242.597800000,3780.436040000
20230731T,242.597800000,244.519400000,240.500000000,240.991300000,6317.266650000
20230801T,240.991300000,247.719500000,237.229600000,247.633800000,9689.664240000
20230802T,247.633800000,248.664200000,235.225600000,240.539700000,15558.450730000
20230803T,240.539700000,241.862300000,238.217900000,241.043500000,7705.034760000
20230804T,241.043500000,243.333000000,240.148700000,241.658300000,5137.911180000
20230805T,241.658300000,243.194800000,240.000000000,243.184500000,3541.785440000
20230806T,243.184500000,246.394900000,242.752600000,243.117100000,4120.250330000
20230807T,243.117100000,244.857600000,239.633600000,242.058600000,4498.356770000
20230808T,242.058600000,248.218700000,241.508900000,245.221200000,6328.090980000
20230809T,245.221200000,245.535000000,242.799000000,243.877300000,4523.116730000
20230810T,243.877300000,244.047000000,240.584100000,241.509600000,3402.449770000
20230811T,241.509600000,242.141900000,238.152900000,239.809800000,3505.672100000
20230812T,239.809800000,248.387200000,239.561000000,240.388900000,3317.706710000
20230813T,240.388900000,241.856700000,239.881100000,240.157600000,2004.751060000
20230814T,240.157600000,241.399900000,239.819400000,240.436300000,2797.761730000
20230815T,240.436300000,240.730800000,233.542100000,236.779000000,6729.408020000
20230816T,236.779000000,237.351300000,230.475600000,232.032100000,5766.970290000
20230817T,232.032100000,232.467100000,212.029800000,217.938700000,15798.055460000
20230818T,217.938700000,220.160000000,213.550500000,215.965200000,7801.665430000
20230819T,215.965200000,219.365800000,213.600000000,216.874000000,3953.334390000
20230820T,216.874000000,218.043600000,215.433300000,216.583100000,3448.536660000
20230821T,216.583100000,216.867200000,206.111000000,210.327500000,9548.802770000
20230822T,210.327500000,213.180200000,203.348900000,210.878300000,6866.584480000
20230823T,210.878300000,218.855200000,210.878300000,216.537100000,8409.291510000
20230824T,216.537100000,221.183400000,215.602000000,219.095700000,5439.391610000
20230825T,219.095700000,219.620600000,213.685200000,218.401700000,5505.911330000
20230826T,218.401700000,219.276200000,216.083300000,216.344100000,2350.252820000
20230827T,216.344100000,223.000000000,215.900000000,218.355300000,3726.191740000
20230828T,218.355300000,219.484500000,215.252900000,218.845600000,4759.701000000
20230829T,218.845600000,236.670100000,217.009600000,226.926000000,14140.663810000
20230830T,226.926000000,227.115600000,221.789400000,223.827400000,4213.986260000
20230831T,223.827400000,226.000000000,214.313400000,216.688100000,7319.277020000
20230901T,216.688100000,218.463000000,211.222200000,213.604800000,7318.070960000
20230902T,213.604800000,215.741700000,213.000100000,214.351700000,4789.650150000
20230903T,214.351700000,215.141000000,213.150300000,214.320900000,2837.430830000
20230904T,214.320900000,216.568000000,213.089400000,215.267600000,4198.826760000
20230905T,215.267600000,215.999900000,213.592000000,214.524300000,3909.155340000
20230906T,214.524300000,218.705800000,211.841300000,215.101700000,6550.372210000
20230907T,215.101700000,217.813700000,213.590600000,217.147900000,4218.506400000
20230908T,217.147900000,218.715100000,213.500000000,214.624600000,3751.589540000
20230909T,214.624600000,215.468300000,213.066500000,214.228900000,2172.333050000
20230910T,214.228900000,214.254400000,211.121700000,212.351000000,2018.642880000
20230911T,212.351000000,212.697000000,203.980900000,206.063300000,4864.821470000
20230912T,206.063300000,214.654100000,205.040900000,210.434600000,5651.201660000
20230913T,210.434600000,213.176600000,209.272400000,212.519200000,3760.351110000
20230914T,212.519200000,215.004400000,211.123500000,212.093100000,4259.790710000
20230915T,212.093100000,214.900900000,210.988100000,214.008300000,3427.831850000
20230916T,214.008300000,215.848800000,213.290200000,214.885500000,2994.699030000
20230917T,214.885500000,216.815500000,213.360000000,216.290400000,2240.109300000
20230918T,216.290400000,221.316200000,215.057800000,215.865300000,6686.848460000
20230919T,215.865300000,219.857000000,215.360000000,217.200000000,5454.775030000
20230920T,217.200000000,217.777600000,213.600100000,214.363000000,6994.450980000
20230921T,214.363000000,215.138900000,209.000000000,210.904400000,4413.547340000
20230922T,210.904400000,212.250000000,209.638400000,211.067000000,3411.747530000
20230923T,211.067000000,212.090600000,204.200000000,210.384300000,2407.812440000
20230924T,210.384300000,211.204700000,206.303200000,208.329300000,1728.958130000
20230925T,208.329300000,210.499900000,206.592500000,209.923500000,4805.821750000
20230926T,209.923500000,213.790300000,209.752100000,212.511000000,5930.243240000
20230927T,212.511000000,215.999900000,210.440300000,212.078600000,4142.357740000
20230928T,212.078600000,217.080500000,210.120300000,215.016100000,5624.364580000
20230929T,215.016100000,217.463100000,214.411500000,215.154000000,3156.226400000
20230930T,215.154000000,215.407900000,215.040900000,215.228700000,9.656800000
